City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Galesong,ID,77.02,scattered clouds,-5.3166,119.3661,Sapriadi Appy
1,Chuy,UY,65.73,moderate rain,-33.6971,-53.4616,Nuevo Hotel Plaza
2,Luwuk,ID,78.12,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
3,Rikitea,PF,74.46,broken clouds,-23.1203,-134.9692,People ThankYou
4,Celestun,MX,77.34,overcast clouds,20.8667,-90.4,Posada Lilia
5,Victoria,HK,70.32,light rain,22.2855,114.1577,Mini Hotel Central
6,Hermanus,ZA,64.9,light rain,-34.4187,19.2345,Misty Waves Boutique Hotel
7,East London,ZA,67.14,clear sky,-33.0153,27.9116,Tu Casa
9,Mataura,NZ,50.83,overcast clouds,-46.1927,168.8643,Ellie's Villa
10,Port Blair,IN,80.92,broken clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
12,Torbay,CA,61.57,light rain,47.6666,-52.7314,Gallows Cove
13,Sipe Sipe,BO,79.16,clear sky,-17.45,-66.3833,Cabañas Oasis Marino
14,Esmeraldas,BR,81.46,clear sky,-19.7625,-44.3139,Bom Será - Marcinho e Fernanda
15,Ponta Do Sol,PT,75.7,few clouds,32.6667,-17.1,Hotel do Campo
16,Takoradi,GH,81.16,light rain,4.8845,-1.7554,Raybow International Hotel
17,Vaini,TO,69.96,broken clouds,-21.2,-175.2,Keleti Beach Resort
18,Georgetown,MY,81.9,moderate rain,5.4112,100.3354,Cititel Penang
19,Ariano Irpino,IT,66.45,overcast clouds,41.1489,15.0833,Hotel Incontro
20,Butaritari,KI,81.45,broken clouds,3.0707,172.7902,Isles Sunset Lodge
21,Mandera,KE,87.69,light rain,3.9366,41.867,Kornesh Hotel and Lodging
22,Benghazi,LY,79.72,clear sky,32.1167,20.0667,Tibesti Hotel
23,Cabo San Lucas,MX,73.15,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
24,Hobart,AU,53.02,light intensity shower rain,-42.8794,147.3294,Mantra on Collins Hobart
25,Praya,CV,86.54,few clouds,14.9215,-23.5087,LT Aparthotel
26,Harwich,GB,56.55,broken clouds,51.9419,1.2844,Premier Inn Harwich hotel
27,Bowen,AU,76.96,few clouds,-20.0167,148.2333,Castle Motor Lodge Motel
28,Marsa Matruh,EG,71.96,clear sky,31.3525,27.2453,Beau Site
29,Isangel,VU,74.97,broken clouds,-19.55,169.2667,Tanna Lodge
30,Valdez,EC,77.92,overcast clouds,1.2492,-78.9831,Casa Alquiler Doña Yenner y Don Wacho
31,Geraldton,AU,64.81,clear sky,-28.7667,114.6,Broadwater Mariner Resort
32,Biloela,AU,73.83,light rain,-24.4167,150.5,Biloela Silo Motor Inn
33,Laguna,US,56.01,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
