City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,City Weather
0,Galesong,ID,-5.3166,119.3661,77.02,82,38,5.23,scattered clouds
1,Port Hardy,CA,50.6996,-127.4199,46.58,100,90,6.91,moderate rain
2,Chuy,UY,-33.6971,-53.4616,65.73,55,100,2.8,moderate rain
3,Luwuk,ID,-0.9516,122.7875,78.12,74,95,3.2,overcast clouds
4,Talnakh,RU,69.4865,88.3972,20.93,96,100,5.95,light snow
5,Rikitea,PF,-23.1203,-134.9692,74.46,81,57,20.67,broken clouds
6,Paamiut,GL,61.994,-49.6678,31.57,47,13,21.81,few clouds
7,Barrow,US,71.2906,-156.7887,30.22,86,90,14.97,light snow
8,Kaitangata,NZ,-46.2817,169.8464,49.41,92,100,4.61,light rain
9,Celestun,MX,20.8667,-90.4,77.34,83,100,3.13,overcast clouds
10,Victoria,HK,22.2855,114.1577,70.32,77,84,5.01,light rain
11,Hermanus,ZA,-34.4187,19.2345,64.9,66,78,13.51,light rain
12,East London,ZA,-33.0153,27.9116,67.14,55,0,28.77,clear sky
13,Aripuana,BR,-9.1667,-60.6333,95.99,36,84,4.92,broken clouds
14,Mataura,NZ,-46.1927,168.8643,50.83,81,100,1.07,overcast clouds
15,Port Blair,IN,11.6667,92.75,80.92,79,80,1.81,broken clouds
16,Nioro,GM,13.35,-15.75,90.46,33,79,3.18,broken clouds
17,Torbay,CA,47.6666,-52.7314,61.57,95,90,16.11,light rain
18,Komsomolskiy,UZ,40.4272,71.7189,48.92,34,1,2.3,clear sky
19,Tuktoyaktuk,CA,69.4541,-133.0374,27.14,87,100,17.29,overcast clouds
20,Sipe Sipe,BO,-17.45,-66.3833,79.16,16,5,3.74,clear sky
21,Okhotsk,RU,59.3833,143.3,17.98,80,100,11.36,overcast clouds
22,Andenes,NO,69.3143,16.1194,33.78,64,75,11.5,light rain
23,Esmeraldas,BR,-19.7625,-44.3139,81.46,45,0,7.63,clear sky
24,Pevek,RU,69.7008,170.3133,12.51,94,100,5.97,light snow
25,Ponta Do Sol,PT,32.6667,-17.1,75.7,69,16,5.64,few clouds
26,Kuopio,FI,62.8924,27.677,31.95,74,75,8.05,broken clouds
27,Takoradi,GH,4.8845,-1.7554,81.16,75,89,8.75,light rain
28,Vaini,TO,-21.2,-175.2,69.96,88,75,9.22,broken clouds
29,Georgetown,MY,5.4112,100.3354,81.9,86,40,0.0,moderate rain
30,Ariano Irpino,IT,41.1489,15.0833,66.45,64,100,8.95,overcast clouds
31,Butaritari,KI,3.0707,172.7902,81.45,71,74,10.49,broken clouds
32,Mandera,KE,3.9366,41.867,87.69,46,94,3.04,light rain
33,Kodiak,US,57.79,-152.4072,44.11,76,90,9.22,light rain
34,Benghazi,LY,32.1167,20.0667,79.72,44,8,7.83,clear sky
35,Albany,US,42.6001,-73.9662,49.62,69,57,4.18,broken clouds
36,Cabo San Lucas,MX,22.8909,-109.9124,73.15,74,6,8.61,clear sky
37,Hobart,AU,-42.8794,147.3294,53.02,92,75,1.99,light intensity shower rain
38,Praya,CV,14.9215,-23.5087,86.54,58,20,21.85,few clouds
39,Harwich,GB,51.9419,1.2844,56.55,66,77,5.01,broken clouds
40,Cherskiy,RU,68.75,161.3,-7.89,100,100,1.45,overcast clouds
41,Khatanga,RU,71.9667,102.5,14.18,93,100,16.84,overcast clouds
42,Bowen,AU,-20.0167,148.2333,76.96,76,15,8.84,few clouds
43,Ushuaia,AR,-54.8,-68.3,44.26,49,40,14.97,light rain
