City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Hermanus,ZA,2021-10-20 00:00:01,-34.4187,19.2345,61.9,89,3,12.37
1,Rikitea,PF,2021-10-20 00:00:02,-23.1203,-134.9692,75.16,77,2,20.27
2,Candolim,IN,2021-10-20 00:00:03,15.5181,73.7626,78.8,89,40,6.91
3,Humboldt,US,2021-10-20 00:00:05,40.6665,-123.9178,54.86,50,100,11.23
4,Ayan,RU,2021-10-20 00:00:06,56.45,138.1667,30.81,53,14,7.16
5,Balakliya,UA,2021-10-20 00:00:11,49.4627,36.8595,32.83,77,18,7.81
6,Terrassa,ES,2021-10-19 23:56:03,41.5667,2.0167,66.85,91,0,1.99
7,Touros,BR,2021-10-20 00:00:11,-5.1989,-35.4608,78.75,79,42,13.56
8,Vaini,TO,2021-10-20 00:00:13,-21.2,-175.2,75.2,65,71,17.58
9,Mataura,NZ,2021-10-20 00:00:15,-46.1927,168.8643,55.08,45,67,3.8
10,Karratha,AU,2021-10-20 00:00:16,-20.7377,116.8463,72.12,38,78,14.63
11,Ribeira Grande,PT,2021-10-20 00:00:17,38.5167,-28.7,69.64,66,7,9.91
12,Ushuaia,AR,2021-10-19 23:57:10,-54.8,-68.3,53.26,62,75,23.02
13,Tak,TH,2021-10-20 00:00:18,16.5833,98.8333,67.95,96,50,0.94
14,Ponta Do Sol,PT,2021-10-20 00:00:19,32.6667,-17.1,78.71,64,99,2.57
15,Tiksi,RU,2021-10-20 00:00:20,71.6872,128.8694,17.35,95,100,7.65
16,Tres Arroyos,AR,2021-10-20 00:00:20,-38.3739,-60.2798,56.73,64,2,10.02
17,Sidi Ali,DZ,2021-10-20 00:00:21,36.0998,0.4206,66.36,49,61,6.76
18,Guerrero Negro,MX,2021-10-20 00:00:22,27.9769,-114.0611,66.94,63,12,16.96
19,Marsa Matruh,EG,2021-10-20 00:00:23,31.3525,27.2453,70.07,64,23,10.18
20,Torbay,CA,2021-10-20 00:00:24,47.6666,-52.7314,49.75,91,65,1.01
21,Georgetown,MY,2021-10-20 00:00:24,5.4112,100.3354,78.89,90,20,0.0
22,Albany,US,2021-10-20 00:00:21,42.6001,-73.9662,59.41,62,11,12.41
23,Okhotsk,RU,2021-10-20 00:00:25,59.3833,143.3,11.59,63,8,13.15
24,Viedma,AR,2021-10-20 00:00:26,-40.8135,-62.9967,61.86,47,3,11.36
25,Punta Arenas,CL,2021-10-20 00:00:27,-53.15,-70.9167,55.11,66,99,12.08
26,Qaanaaq,GL,2021-10-20 00:00:27,77.484,-69.3632,26.13,92,99,9.66
27,Pueblo Bello,CO,2021-10-20 00:00:28,8.2041,-76.526,74.62,96,95,1.83
28,Mao,ES,2021-10-20 00:00:28,39.8885,4.2658,63.16,77,0,5.75
29,Airai,TL,2021-10-20 00:00:29,-8.9266,125.4092,74.08,41,73,3.13
30,Najran,SA,2021-10-20 00:00:30,17.4924,44.1277,66.25,29,62,2.17
31,Jumla,NP,2021-10-20 00:00:30,29.2747,82.1838,57.07,96,100,2.39
32,Sao Joao Da Barra,BR,2021-10-19 23:58:52,-21.6403,-41.0511,68.9,90,100,18.7
33,Bengkulu,ID,2021-10-20 00:00:31,-3.8004,102.2655,76.77,85,66,3.2
34,Ravar,IR,2021-10-20 00:00:32,31.2656,56.8055,66.4,15,0,2.42
35,Lebu,CL,2021-10-20 00:00:32,-37.6167,-73.65,51.89,95,1,8.28
36,Buluang,PH,2021-10-20 00:00:33,13.3068,123.3425,79.59,90,84,2.89
37,Ilulissat,GL,2021-10-20 00:00:33,69.2167,-51.1,28.42,59,98,5.75
38,Mount Gambier,AU,2021-10-20 00:00:34,-37.8333,140.7667,59.92,55,100,10.09
39,Bollnas,SE,2021-10-20 00:00:34,61.3482,16.3946,42.13,98,100,5.08
40,Saldanha,ZA,2021-10-20 00:00:34,-33.0117,17.9442,61.83,58,0,8.57
41,Yulara,AU,2021-10-20 00:00:35,-25.2406,130.9889,90.82,21,8,21.16
42,Busselton,AU,2021-10-20 00:00:35,-33.65,115.3333,58.05,81,100,20.2
43,Constitucion,CL,2021-10-20 00:00:36,-35.3333,-72.4167,52.95,90,14,2.15
44,Pisco,PE,2021-10-20 00:00:37,-13.7,-76.2167,62.02,88,46,3.94
45,Kavaratti,IN,2021-10-20 00:00:37,10.5669,72.642,81.7,73,100,8.03
46,Hwange,ZW,2021-10-20 00:00:37,-18.3693,26.5019,64.6,66,16,5.53
47,New Norfolk,AU,2021-10-20 00:00:38,-42.7826,147.0587,56.66,51,6,3.0
48,Ust-Kuyga,RU,2021-10-20 00:00:38,70.0167,135.6,0.18,97,82,7.05
49,Carnarvon,AU,2021-10-19 23:57:11,-24.8667,113.6333,62.67,77,75,4.61
50,Balkhash,KZ,2021-10-20 00:00:39,46.844,74.9804,46.18,50,0,7.99
51,Sao Filipe,CV,2021-10-20 00:00:39,14.8961,-24.4956,80.17,68,0,2.19
52,Porto Novo,BJ,2021-10-20 00:00:40,6.4965,2.6036,79.29,81,82,7.18
53,Prabumulih,ID,2021-10-20 00:00:40,-3.45,104.25,75.07,92,100,2.28
54,Emilio Carranza,MX,2021-10-20 00:00:41,19.9711,-96.6114,77.18,76,73,3.11
55,Port Alfred,ZA,2021-10-20 00:00:41,-33.5906,26.891,58.6,73,4,16.24
56,Kumluca,TR,2021-10-20 00:00:41,36.3703,30.2869,68.94,47,4,7.52
57,Comodoro Rivadavia,AR,2021-10-19 23:59:35,-45.8667,-67.5,66.06,39,0,14.97
58,Port Hardy,CA,2021-10-20 00:00:07,50.6996,-127.4199,52.18,74,100,19.69
59,Mantua,IT,2021-10-20 00:00:42,45.1667,10.7833,54.72,90,20,2.89
60,Beloha,MG,2021-10-20 00:00:43,-25.1667,45.05,65.66,76,92,10.25
61,Odienne,CI,2021-10-20 00:00:44,9.51,-7.5692,74.3,75,100,1.41
62,Mar Del Plata,AR,2021-10-20 00:00:44,-38.0023,-57.5575,55.99,21,2,8.01
63,Boyolangu,ID,2021-10-20 00:00:44,-8.1181,111.8935,79.95,80,94,5.77
64,Vestmannaeyjar,IS,2021-10-20 00:00:45,63.4427,-20.2734,37.11,57,12,17.98
65,Qui Nhon,VN,2021-10-19 23:57:38,13.7667,109.2333,78.42,90,76,6.26
66,Port Hedland,AU,2021-10-20 00:00:45,-20.3167,118.5667,77.05,47,100,12.66
67,Redmond,US,2021-10-19 23:58:14,47.674,-122.1215,62.65,67,64,3.71
68,Barrow,US,2021-10-20 00:00:46,71.2906,-156.7887,24.82,80,90,27.63
69,Lompoc,US,2021-10-20 00:00:46,34.6391,-120.4579,69.01,70,1,11.01
70,Abu Samrah,SY,2021-10-20 00:00:47,35.3029,37.1841,61.99,78,0,6.73
71,Lavrentiya,RU,2021-10-20 00:00:48,65.5833,-171.0,30.47,97,100,16.78
72,Kapaa,US,2021-10-20 00:00:48,22.0752,-159.319,84.18,68,3,3.0
73,Cape Town,ZA,2021-10-19 23:58:45,-33.9258,18.4232,62.11,71,0,1.99
74,Bluff,NZ,2021-10-20 00:00:49,-46.6,168.3333,50.88,54,69,4.99
75,Aklavik,CA,2021-10-20 00:00:49,68.2191,-135.0107,17.4,86,75,9.46
76,Mount Isa,AU,2021-10-20 00:00:50,-20.7333,139.5,92.97,12,19,16.11
77,Salinopolis,BR,2021-10-20 00:00:50,-0.6136,-47.3561,78.31,87,59,8.34
78,Quatre Cocos,MU,2021-10-20 00:00:50,-20.2078,57.7625,70.09,74,43,8.25
79,Cockburn Town,TC,2021-10-20 00:00:51,21.4612,-71.1419,82.13,76,95,13.2
80,Upernavik,GL,2021-10-20 00:00:51,72.7868,-56.1549,33.1,88,100,26.62
81,Jamestown,US,2021-10-19 23:59:46,42.097,-79.2353,58.33,69,4,1.99
82,Catuday,PH,2021-10-20 00:00:52,16.2923,119.8062,80.56,75,97,8.12
83,Lagoa,PT,2021-10-20 00:00:52,39.05,-27.9833,68.54,67,8,13.24
84,San Patricio,US,2021-10-20 00:00:53,28.017,-97.5169,79.84,67,98,11.56
85,Qarchi Gak,AF,2021-10-20 00:00:53,37.04,66.7889,50.09,19,86,2.55
86,Arraial Do Cabo,BR,2021-10-19 23:57:30,-22.9661,-42.0278,67.69,79,100,17.92
87,Arlit,NE,2021-10-20 00:00:54,18.7369,7.3853,88.29,13,75,8.55
88,Sorong,ID,2021-10-19 23:56:07,-0.8833,131.25,80.08,81,99,5.5
89,Souillac,MU,2021-10-20 00:00:55,-20.5167,57.5167,70.36,77,10,6.44
90,Talnakh,RU,2021-10-20 00:00:55,69.4865,88.3972,31.03,98,100,9.19
91,Fairbanks,US,2021-10-20 00:00:56,64.8378,-147.7164,37.81,56,100,1.01
92,Seoul,KR,2021-10-19 23:59:00,37.5683,126.9778,45.84,78,0,5.75
93,Vanimo,PG,2021-10-20 00:00:56,-2.6741,141.3028,84.63,69,98,3.44
